"Site","Date","Field_DO","Field_Cond","Field_Temp","Turbidity","TSS","ChlA","DOC","DTN","pH","ANC","SC","Na","NH4","K","Mg","Ca","F","Cl","NO3","PO4","SO4","LABNOTES","time","dt_char","FCW_Number","Year","site_code","lat_long","Common_name","Site.Description"
"Poudre at Timberline",2023-11-16 00:00:00.000000Z,"8.4499999999999993","837.6","6.9",1.81,3.3000000000000806,,3.638,1.678,8.110999999999999,3567.2949999999996,1023.012,40.88,0.16,3.87,28.42,117.10000000000001,0.35000000000000003,41.529999999999994,5.683,0.566,207.274,,"10:30:00","2023-11-16 10:30:00",2738,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-11-16 00:00:00.000000Z,"9.5399999999999991","877.2","6.5",2.59,2.0000000000000018,,3.663,1.484,8.216,13665.46,3004.5985,136.3,0.06,3.5599999999999996,105.32,261.84000000000003,0.42000000000000004,51.852000000000004,4.449,0.525,631.1,"Ions Confirmed. Potential bottle contam? Lab measurements very different than field sensor.","11:00:00","2023-11-16 11:00:00",2739,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Boxelder Creek above Sanitation District",2023-11-16 00:00:00.000000Z,"9.85","1985","9.8000000000000007",1.83,2.040816326530614,,4.003,4.631,8.222,5158.085,2525.4605,133,0.06,5.699999999999999,104.1,258.29999999999995,0.8,51.344,16.598,0,624.714,,"11:30:00","2023-11-16 11:30:00",2740,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Boxelder Sanitation (Above Boxelder Creek0",2023-11-16 00:00:00.000000Z,"10.66","1059","7.4",2.2,1.6000000000000458,,3.805,1.078,8.255999999999998,4451.6,1380.4850000000001,52.94,0.06,3.89,42.24,151.38,0.49,51.796,3.2840000000000003,0,293.06,,"12:00:00","2023-11-16 12:00:00",2741,2023,"boxelder","40.550674,-105.008111","Boxelder","Poudre above Boxelder Sanitation, formerly ELC"
"Poudre at Archery Range",2023-11-16 00:00:00.000000Z,"9.91","1245","8.5",2.03,1.5000000000000568,,4.172,1.534,8.2,3940.065,1500.276,67.03999999999999,0.09,5.04,49.980000000000004,145.8,0.5800000000000001,48.998,5.114999999999999,0,383.61600000000004,,"12:30:00","2023-11-16 12:30:00",2742,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
"Poudre at Lincoln",2023-12-05 00:00:00.000000Z,"11.17","373.7","4.5",,,,2.94,0.8126,7.957,2458.83,432.557,13.799999999999999,0.02,1.7799999999999998,13.32,51.64,0.269,20.268,3.341,0,43.35,,"14:47:00","2023-12-05 14:47:00",2744,2023,"lincoln","40.588073,-105.069231","Lincoln St","Poudre at Lincoln St above Lincoln St Outflow"
"Poudre at Timberline",2023-12-05 00:00:00.000000Z,"10.19","791.2","5",,,,3.162,1.9439,7.885,2994.2149999999997,955.9465,34.22,0.19,2.44,27.3,109.2,0.293,38.14,6.545999999999999,0,210.572,,"15:29:00","2023-12-05 15:29:00",2745,2023,"timberline","40.575, -105.033","Timberline","Poudre at Timberline below Dry Creek"
"Poudre at Prospect",2023-12-05 00:00:00.000000Z,"10.83","885.9","5",,,,3.167,1.9204,8.163,3612.0600000000004,1062.893,46.18000000000001,0.05,2.5,30.96,117.75999999999999,0.511,61.782000000000004,6.611000000000001,0,193.04,,"16:16:00","2023-12-05 16:16:00",2746,2023,"prospect","40.56703363, -105.0272535","Prospect","Poudre below Spring Creek at Prospect"
"Boxelder Creek above Sanitation District",2023-12-05 00:00:00.000000Z,"8.15","2099","8.6999999999999993",,,,3.817,4.802,8.391,5945.77,2760.4285,147.89999999999998,0.08,5.58,108,263.65999999999997,0.74,51.730000000000004,17.692,0,726.766,,"16:57:00","2023-12-05 16:57:00",2747,2023,"boxcreek","40.552003, -105.004576","Boxelder Creek","Boxelder Creek above Boxelder Sanitation"
"Poudre at Archery Range",2023-12-05 00:00:00.000000Z,"9.9499999999999993","1352","6.4",,,,3.921,1.563,8.298,4751.429999999999,1761.085,73.52000000000001,0.19,4.62,56.36,170.06,0.52,58.788,4.798,0,408.468,,"17:32:00","2023-12-05 17:32:00",2748,2023,"archery","40.547903, -105.001105","Archery","Poudre below Boxelder Sanitation at Archery Range"
